ก๋วยเตี๋ยวสุโขทัยตาปุ้ย
ไม้กลางกรุง ก๋วยเตี๋ยวสุโขทัย
Little HomE - ลิตเติ้ลโฮม
ระเบียงกาแฟ สวรรคโลก
สนิมแจ่วฮ้อน
โป๊ะเป๊ะก๋วยเตี๋ยวสุโขทัย
พิซซ่าเตาฟืน​ สุโขทัย (Pizza House Sukhothai)
หมีข้าวพันผัก
ก๋วยเตี๋ยวเรือร้อยล้าน สาขาศรีสำโรง
โกดังสเต็ก
All Blues Coffee Bar
ณ โขทัย
ก๋วยเตี๋ยวยายน้อย
จงกลคาเฟ่
ก๋วยเตี๋ยวเรือสุโขทัย​ (อุทยานประวัติศาสตร์​ศรีสัชนาลัย)​
ก๋วยเตี๋ยวเรือร้อยล้าน สาขาศรีสัชนาลัย
มายที & สเต็กเด็กแนว
ครัวรสเสด็จ
รัตน์ รัตน์ คราฟท์ คาเฟ่ (Rush Lush Craft Cafe)
18+ Coffee by Tee
บ้านพี่มุก
วัวล้วนๆไม่มีควายผสม สาขา 115
บ้านนกฮูก
ร้านละไม
ระเบียงกาแฟ
บ้านสนม คาเฟ่
เป็ดพะโล้ วีระชวนชิม
T coffee
ครัวสุโขและกาแฟชมทุ่ง
DEUM cafe
รดาออร์แกนิคฟาร์ม
Cafe’ Ametist คาเฟ่ อาเมทิสท์
บะหมี่เม้ง100ปี สวรรคโลก
วันเพ็ญก๋วยเตี๋ยวสุโขทัยโบราณ
Good View Riverside
บ้านตึ๊ก อิ่มแต้  หมูปลาร้า&ตำแซ่บนัวส์
ข้าวเปิ๊บยายเครื่อง
ญวนหมูย่าง 100 ปี
ครัวตัวต. ริมน้ำยม
ผัดไทยแม่อนงค์ ตลาดท่าน้ำอ้อย
ขวัญศิริ
เตี๋ยวพุงวังทอง
สุโขทัย เฮอริเทจ รีสอร์ท
ร้านอาหารบ้านจันทร์ฉาย สุโขทัย l Baan Junshine Sukhothai Restaurant
ร้านอาหารเฟื่องฟ้าปลาแม่น้ำ
บ้านอิงชาน
บ้านมะขวิด
All Blues Home&Cafe'
ร้านขนมของโปรด : By king
คอฟฟี่โซน สาขา 3
ป้าทุม หมูกะทะ
B.N.Cafe by nammon
ฟาร์เมอร์วิว
Thai Cooking experience Sukhothai by Baan Suan Suda
บ้านเคียงเมือง จิบ ชา กาแฟ
ขนมหวานบ้านสุโขทัย
กาแฟบุญมา
ป้าพยอม
กาแฟแก้วรั่ว
ป้าสำเริง อาหารตามสั่ง
ขวัญชีวิน อาหารตามสั่ง
มาลองเซ่
เซย์ไฮคาเฟ่ สาขา 2 เมืองเก่า
ยำยัดครก
THE COFFEE Cup
Kacha Cafe & Restaurant
Old City Landmark Cafe
Historical Garden Restaurant
3แพ็ค100สุโขทัย
ตาแป๊ะ
จันทร์ทอง
ครัวกรุงเก่า
Take a break coffee
อิ่มอร่อยนู้ดเดิ้ลคอฟฟี่
สัตตบงกช
ก๋วยเตี๋ยวโกแห้ง
น้ำอ้อย&ธวัชอาหารตามสั่ง
อาหารป่าลุงเกียว
ส้มตำจำเป็น
กำแพงเพชรโภชนา สาขา 7
เตี๋ยวปลายนา
กระเพรา20บาท แม่ทองปอน
รักชาติพาเพลินศรีสำโรง
MARUCHA​ BY MR.​ TOM
ก๋วยเตี๋ยวดู๋ดี๋ (ตาอ๊อด)
เอนกอาหารป่า
พฤกษาใบบุญ
ยำคลองมะพลับ by บุ๋ม
